id,cocktail_name,description,instructions,abv,taste,image_url,user_id,created_at,updated_at
1,Verdant Negroni,"The Verdant Negroni layers Gin, Triple Sec, Espresso, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Gin, Triple Sec, Espresso, Strawberry Puree in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",14.4,"herbal backbone, gentle coffee aroma, subtle vanilla sweetness.",,28,2024/7/3 07:18,2024/7/1 15:43
2,Sunset Spritz,"The Sunset Spritz layers Blue Curaçao, Honey Syrup, Club Soda, and Lime Juice into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Blue Curaçao, Honey Syrup, Club Soda, Lime Juice in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over no ice. Garnish with roasted rosemary sprig.",10,"zesty citrus sparkle, smoky undertone, lingering bitter finish.",,19,2023/11/24 05:28,2023/8/2 23:02
3,Scarlet Fizz,"The Scarlet Fizz layers Gin, Honey Syrup, Espresso, Lime Juice, Lemon Juice, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Gin, Honey Syrup, Espresso, Lime Juice, Lemon Juice, Strawberry Puree in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with roasted rosemary sprig.",16.8,"gentle coffee aroma, herbal backbone, zesty citrus sparkle.",,29,2025/2/3 09:57,2025/1/31 21:08
4,Arctic Fizz,"The Arctic Fizz layers Dark Rum, Amaretto, Chartreuse, Coconut Water, and Lemon Juice into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Dark Rum, Amaretto, Chartreuse, Coconut Water, Lemon Juice in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over no ice. Garnish with dehydrated fruit wheel.",17.1,"subtle vanilla sweetness, silky mouthfeel, lingering bitter finish.",,4,2025/5/3 06:58,2023/12/21 00:22
5,Solar Highball,"The Solar Highball layers Amaretto, Cinnamon Syrup, Orgeat, Mango Puree, Mint Leaves, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Amaretto, Cinnamon Syrup, Orgeat, Mango Puree, Mint Leaves, Lavender Buds in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",11.2,"herbal backbone, silky mouthfeel, zesty citrus sparkle.",,14,2024/10/22 15:46,2024/6/17 11:18
6,Midnight Old Fashioned,"The Midnight Old Fashioned layers Tequila Blanco, Simple Syrup, Club Soda, and Coconut Water into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Tequila Blanco, Simple Syrup, Club Soda, Coconut Water in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with mint bouquet.",16,"tropical fruit burst, zesty citrus sparkle, gentle coffee aroma.",,16,2024/11/2 04:38,2023/10/3 20:11
7,Orchid Highball,"The Orchid Highball layers Bourbon, Rye Whiskey, Cinnamon Syrup, Mango Puree, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Bourbon, Rye Whiskey, Cinnamon Syrup, Mango Puree, Lavender Buds in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",18.2,"silky mouthfeel, zesty citrus sparkle, tropical fruit burst.",,25,2024/10/17 21:45,2024/5/1 12:30
8,Velvet Breeze,"The Velvet Breeze layers Gin, White Rum, Grenadine, Club Soda, and Passion Fruit Puree into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Gin, White Rum, Grenadine, Club Soda, Passion Fruit Puree in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",16.4,"lingering bitter finish, subtle vanilla sweetness, smoky undertone.",,17,2023/6/18 00:42,2024/12/30 08:45
9,Scarlet Breeze,"The Scarlet Breeze layers Rye Whiskey, Mezcal, Triple Sec, Strawberry Puree, and Mint Leaves into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Rye Whiskey, Mezcal, Triple Sec, Strawberry Puree, Mint Leaves in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over no ice. Garnish with mint bouquet.",16,"lingering bitter finish, subtle vanilla sweetness, smoky undertone.",,13,2025/5/25 08:28,2023/7/4 13:11
10,Scarlet Daiquiri,"The Scarlet Daiquiri layers White Rum, Bourbon, Kahlúa, and Ginger Beer into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine White Rum, Bourbon, Kahlúa, Ginger Beer in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",14,"smoky undertone, tropical fruit burst, zesty citrus sparkle.",,2,2023/9/23 16:30,2023/8/25 16:58
11,Smoky Negroni,"The Smoky Negroni layers Vodka, Bourbon, Campari, Orgeat, and Club Soda into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Vodka, Bourbon, Campari, Orgeat, Club Soda in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with a citrus twist.",14.5,"zesty citrus sparkle, gentle coffee aroma, silky mouthfeel.",,4,2025/5/16 03:46,2023/12/8 18:58
12,Cerulean Breeze,"The Cerulean Breeze layers Vodka, Orgeat, Club Soda, Espresso, Lemon Juice, and Rosemary Sprig into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Vodka, Orgeat, Club Soda, Espresso, Lemon Juice, Rosemary Sprig in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",16,"herbal backbone, subtle vanilla sweetness, cool mint accent.",,28,2023/8/18 02:53,2024/12/18 12:49
13,Lunar Spritz,"The Lunar Spritz layers Gin, Kahlúa, Honey Syrup, and Coconut Water into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Gin, Kahlúa, Honey Syrup, Coconut Water in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over a clear ice cube. Garnish with roasted rosemary sprig.",12.4,"warming oak, silky mouthfeel, lingering bitter finish.",,4,2025/4/21 06:58,2025/5/8 00:08
14,Lunar Sour,"The Lunar Sour layers Mezcal, Orgeat, Club Soda, Ginger Beer, Lime Juice, and Mint Leaves into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Mezcal, Orgeat, Club Soda, Ginger Beer, Lime Juice, Mint Leaves in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with a citrus twist.",17.6,"silky mouthfeel, warming oak, gentle coffee aroma.",,30,2025/1/13 21:06,2024/5/5 08:26
15,Twilight Daiquiri,"The Twilight Daiquiri layers Kahlúa, Chartreuse, Cinnamon Syrup, Coconut Water, Lemon Juice, and Mango Puree into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Kahlúa, Chartreuse, Cinnamon Syrup, Coconut Water, Lemon Juice, Mango Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",15,"lingering bitter finish, zesty citrus sparkle, smoky undertone.",,29,2024/1/24 21:40,2024/1/25 17:41
16,Crimson Daiquiri,"The Crimson Daiquiri layers Dark Rum, Tequila Blanco, Rye Whiskey, Simple Syrup, Orgeat, and Rosemary Sprig into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Dark Rum, Tequila Blanco, Rye Whiskey, Simple Syrup, Orgeat, Rosemary Sprig in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with roasted rosemary sprig.",17.5,"silky mouthfeel, cool mint accent, zesty citrus sparkle.",,18,2025/5/16 23:09,2024/1/25 18:40
17,Neon Sour,"The Neon Sour layers Triple Sec, Campari, Blue Curaçao, and Tonic Water into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Triple Sec, Campari, Blue Curaçao, Tonic Water in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",10.5,"herbal backbone, gentle coffee aroma, silky mouthfeel.",,28,2025/5/16 08:38,2023/5/30 16:55
18,Smoky Spritz,"The Smoky Spritz layers Gin, Orgeat, Ginger Beer, Pineapple Juice, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Gin, Orgeat, Ginger Beer, Pineapple Juice, Strawberry Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",16.8,"warming oak, silky mouthfeel, cool mint accent.",,26,2024/3/13 03:39,2025/1/3 18:56
19,Scarlet Spritz,"The Scarlet Spritz layers Club Soda, Ginger Beer, Basil Leaves, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Club Soda, Ginger Beer, Basil Leaves, Lavender Buds in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",0,"herbal backbone, smoky undertone, silky mouthfeel.",,24,2024/12/2 11:28,2025/3/11 19:10
20,Golden Negroni,"The Golden Negroni layers Amaretto, Grenadine, Honey Syrup, Coconut Water, Rosemary Sprig, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Amaretto, Grenadine, Honey Syrup, Coconut Water, Rosemary Sprig, Lavender Buds in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with mint bouquet.",11.2,"subtle vanilla sweetness, gentle coffee aroma, cool mint accent.",,8,2023/7/19 19:33,2024/4/24 10:13
21,Iridescent Collins,"The Iridescent Collins layers White Rum, Simple Syrup, Grenadine, Ginger Beer, and Mint Leaves into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine White Rum, Simple Syrup, Grenadine, Ginger Beer, Mint Leaves in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",16,"tropical fruit burst, zesty citrus sparkle, subtle vanilla sweetness.",,21,2025/5/19 13:03,2023/9/2 23:28
22,Cerulean Negroni,"The Cerulean Negroni layers Tequila Blanco, Bourbon, Mezcal, Amaretto, Chartreuse, and Basil Leaves into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Tequila Blanco, Bourbon, Mezcal, Amaretto, Chartreuse, Basil Leaves in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",17,"silky mouthfeel, subtle vanilla sweetness, tropical fruit burst.",,4,2023/10/28 01:34,2023/12/14 14:27
23,Amber Negroni,"The Amber Negroni layers Rye Whiskey, Tonic Water, Lime Juice, and Rosemary Sprig into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Rye Whiskey, Tonic Water, Lime Juice, Rosemary Sprig in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",18.4,"subtle vanilla sweetness, herbal backbone, silky mouthfeel.",,1,2024/5/8 00:44,2024/3/28 05:00
24,Scarlet Collins,"The Scarlet Collins layers White Rum, Campari, Blue Curaçao, and Mint Leaves into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine White Rum, Campari, Blue Curaçao, Mint Leaves in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over no ice. Garnish with roasted rosemary sprig.",11.9,"lingering bitter finish, herbal backbone, smoky undertone.",,15,2024/6/6 11:32,2025/1/30 14:46
25,Verdant Fizz,"The Verdant Fizz layers Triple Sec, Club Soda, Coconut Water, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Triple Sec, Club Soda, Coconut Water, Lavender Buds in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over no ice. Garnish with dehydrated fruit wheel.",12,"gentle coffee aroma, cool mint accent, lingering bitter finish.",,20,2023/11/27 10:33,2025/1/21 10:24
26,Verdant Spritz,"The Verdant Spritz layers Triple Sec, Kahlúa, Pineapple Juice, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Triple Sec, Kahlúa, Pineapple Juice, Strawberry Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",10,"herbal backbone, warming oak, cool mint accent.",,9,2024/9/18 23:35,2023/11/25 01:35
27,Arctic Old Fashioned,"The Arctic Old Fashioned layers Gin, Kahlúa, Amaretto, Club Soda, and Ginger Beer into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Gin, Kahlúa, Amaretto, Club Soda, Ginger Beer in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over a clear ice cube. Garnish with mint bouquet.",12,"smoky undertone, silky mouthfeel, herbal backbone.",,30,2024/5/21 13:49,2024/4/30 20:01
28,Midnight Daiquiri,"The Midnight Daiquiri layers Gin, Triple Sec, Pineapple Juice, Lime Juice, and Basil Leaves into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Gin, Triple Sec, Pineapple Juice, Lime Juice, Basil Leaves in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over no ice. Garnish with roasted rosemary sprig.",14.4,"warming oak, herbal backbone, smoky undertone.",,8,2024/1/16 09:11,2024/12/26 17:57
29,Velvet Fizz,"The Velvet Fizz layers Blue Curaçao, Simple Syrup, Tonic Water, Lime Juice, Rosemary Sprig, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Blue Curaçao, Simple Syrup, Tonic Water, Lime Juice, Rosemary Sprig, Lavender Buds in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with mint bouquet.",10,"lingering bitter finish, smoky undertone, herbal backbone.",,20,2023/11/3 13:16,2023/10/23 13:03
30,Orchid Breeze,"The Orchid Breeze layers Triple Sec, Honey Syrup, Ginger Beer, and Mango Puree into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Triple Sec, Honey Syrup, Ginger Beer, Mango Puree in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",12,"cool mint accent, subtle vanilla sweetness, gentle coffee aroma.",,28,2023/9/2 12:03,2023/11/24 02:48
31,Orchid Fizz,"The Orchid Fizz layers Campari, Amaretto, Blue Curaçao, Grenadine, and Ginger Beer into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Campari, Amaretto, Blue Curaçao, Grenadine, Ginger Beer in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over no ice. Garnish with roasted rosemary sprig.",10.3,"tropical fruit burst, subtle vanilla sweetness, warming oak.",,6,2023/12/15 13:06,2024/8/15 22:52
32,Smoky Daiquiri,"The Smoky Daiquiri layers Vodka, Club Soda, Espresso, Mango Puree, Basil Leaves, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Vodka, Club Soda, Espresso, Mango Puree, Basil Leaves, Lavender Buds in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over no ice. Garnish with a citrus twist.",16,"smoky undertone, zesty citrus sparkle, lingering bitter finish.",,5,2025/2/10 21:28,2023/12/25 05:57
33,Verdant Old Fashioned,"The Verdant Old Fashioned layers Tequila Blanco, Triple Sec, Simple Syrup, Honey Syrup, and Club Soda into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Tequila Blanco, Triple Sec, Simple Syrup, Honey Syrup, Club Soda in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with mint bouquet.",14,"herbal backbone, tropical fruit burst, lingering bitter finish.",,25,2024/5/18 00:55,2024/7/23 23:30
34,Iridescent Daiquiri,"The Iridescent Daiquiri layers Gin, Tequila Blanco, Simple Syrup, and Rosemary Sprig into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Gin, Tequila Blanco, Simple Syrup, Rosemary Sprig in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with roasted rosemary sprig.",16.4,"subtle vanilla sweetness, tropical fruit burst, smoky undertone.",,17,2024/9/23 03:22,2023/11/10 17:10
35,Lunar Negroni,"The Lunar Negroni layers Tequila Blanco, Triple Sec, Campari, Grenadine, and Pineapple Juice into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Tequila Blanco, Triple Sec, Campari, Grenadine, Pineapple Juice in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",12.5,"zesty citrus sparkle, warming oak, subtle vanilla sweetness.",,20,2025/1/6 12:19,2025/3/17 11:28
36,Midnight Negroni,"The Midnight Negroni layers Chartreuse, Tonic Water, Ginger Beer, and Mango Puree into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Chartreuse, Tonic Water, Ginger Beer, Mango Puree in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over no ice. Garnish with dehydrated fruit wheel.",22,"subtle vanilla sweetness, gentle coffee aroma, warming oak.",,6,2024/5/18 00:38,2024/6/17 22:41
37,Scarlet Highball,"The Scarlet Highball layers Gin, Blue Curaçao, Simple Syrup, and Ginger Beer into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Gin, Blue Curaçao, Simple Syrup, Ginger Beer in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",13.4,"herbal backbone, gentle coffee aroma, tropical fruit burst.",,13,2024/12/30 08:52,2023/10/23 17:33
38,Arctic Negroni,"The Arctic Negroni layers Tequila Blanco, Amaretto, Tonic Water, Coconut Water, and Passion Fruit Puree into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Tequila Blanco, Amaretto, Tonic Water, Coconut Water, Passion Fruit Puree in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",13.6,"herbal backbone, tropical fruit burst, subtle vanilla sweetness.",,25,2024/5/18 16:07,2025/1/25 01:22
39,Arctic Martini,"The Arctic Martini layers Gin, Chartreuse, Grenadine, and Mango Puree into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Gin, Chartreuse, Grenadine, Mango Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with mint bouquet.",19.4,"gentle coffee aroma, herbal backbone, warming oak.",,24,2024/6/18 12:12,2024/12/25 02:23
40,Iridescent Sour,"The Iridescent Sour layers Triple Sec, Simple Syrup, Grenadine, and Mango Puree into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Triple Sec, Simple Syrup, Grenadine, Mango Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over a clear ice cube. Garnish with mint bouquet.",12,"warming oak, lingering bitter finish, silky mouthfeel.",,8,2023/11/27 09:08,2023/6/1 02:00
41,Twilight Martini,"The Twilight Martini layers Grenadine, Pineapple Juice, Lime Juice, and Lavender Buds into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine Grenadine, Pineapple Juice, Lime Juice, Lavender Buds in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over no ice. Garnish with dehydrated fruit wheel.",0,"cool mint accent, zesty citrus sparkle, silky mouthfeel.",,26,2025/1/14 13:27,2023/7/10 16:39
42,Velvet Spritz,"The Velvet Spritz layers Tequila Blanco, Campari, Blue Curaçao, Espresso, Passion Fruit Puree, and Rosemary Sprig into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Tequila Blanco, Campari, Blue Curaçao, Espresso, Passion Fruit Puree, Rosemary Sprig in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",11.9,"cool mint accent, zesty citrus sparkle, silky mouthfeel.",,9,2025/3/19 18:40,2024/6/21 07:06
43,Midnight Spritz,"The Midnight Spritz layers Bourbon, Rye Whiskey, Orgeat, Club Soda, Coconut Water, and Basil Leaves into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Bourbon, Rye Whiskey, Orgeat, Club Soda, Coconut Water, Basil Leaves in a mixing glass. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with a citrus twist.",18.2,"cool mint accent, smoky undertone, warming oak.",,13,2023/11/27 02:35,2024/11/22 01:42
44,Cerulean Daiquiri,"The Cerulean Daiquiri layers Tequila Blanco, Mezcal, Cinnamon Syrup, Lime Juice, Strawberry Puree, and Rosemary Sprig into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Tequila Blanco, Mezcal, Cinnamon Syrup, Lime Juice, Strawberry Puree, Rosemary Sprig in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over fresh ice. Garnish with roasted rosemary sprig.",16.8,"subtle vanilla sweetness, tropical fruit burst, lingering bitter finish.",,3,2023/12/6 16:36,2025/5/8 15:45
45,Arctic Daiquiri,"The Arctic Daiquiri layers White Rum, Bourbon, Triple Sec, Campari, Tonic Water, and Club Soda into a glass that tells a story from aroma to lingering finish.","Chill a rocks glass. Combine White Rum, Bourbon, Triple Sec, Campari, Tonic Water, Club Soda in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",13.9,"herbal backbone, zesty citrus sparkle, lingering bitter finish.",,17,2024/9/19 06:44,2023/6/3 20:19
46,Amber Collins,"The Amber Collins layers Tequila Blanco, Campari, Chartreuse, Passion Fruit Puree, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Tequila Blanco, Campari, Chartreuse, Passion Fruit Puree, Strawberry Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over a clear ice cube. Garnish with roasted rosemary sprig.",15.9,"herbal backbone, gentle coffee aroma, zesty citrus sparkle.",,2,2025/4/10 18:44,2023/8/6 18:17
47,Sunset Highball,"The Sunset Highball layers Gin, Bourbon, Cinnamon Syrup, Ginger Beer, Coconut Water, and Strawberry Puree into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine Gin, Bourbon, Cinnamon Syrup, Ginger Beer, Coconut Water, Strawberry Puree in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with a citrus twist.",17.4,"tropical fruit burst, herbal backbone, subtle vanilla sweetness.",,20,2024/6/17 22:11,2025/1/27 04:04
48,Velvet Highball,"The Velvet Highball layers White Rum, Lemon Juice, Strawberry Puree, Mint Leaves, and Basil Leaves into a glass that tells a story from aroma to lingering finish.","Chill a coupe. Combine White Rum, Lemon Juice, Strawberry Puree, Mint Leaves, Basil Leaves in a shaker. Stir over cracked ice for half a minute. Fine strain into the chilled glass over a clear ice cube. Garnish with dehydrated fruit wheel.",16,"subtle vanilla sweetness, silky mouthfeel, smoky undertone.",,7,2023/7/2 02:05,2023/11/15 07:22
49,Golden Old Fashioned,"The Golden Old Fashioned layers Vodka, Honey Syrup, Tonic Water, and Passion Fruit Puree into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Vodka, Honey Syrup, Tonic Water, Passion Fruit Puree in a shaker. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with dehydrated fruit wheel.",16,"tropical fruit burst, subtle vanilla sweetness, lingering bitter finish.",,15,2025/1/12 15:46,2024/6/15 21:20
50,Amber Breeze,"The Amber Breeze layers Rye Whiskey, Amaretto, Simple Syrup, Tonic Water, and Pineapple Juice into a glass that tells a story from aroma to lingering finish.","Chill a highball. Combine Rye Whiskey, Amaretto, Simple Syrup, Tonic Water, Pineapple Juice in a mixing glass. Shake hard for 15 seconds. Fine strain into the chilled glass over fresh ice. Garnish with roasted rosemary sprig.",14.8,"gentle coffee aroma, cool mint accent, zesty citrus sparkle.",,10,2024/1/7 00:17,2024/1/4 13:40